110 N Professor St - Wright Physics,41-00110-1,Water,02/01/2023,03/01/2023,"2,100",cf
110 N Professor St - Wright Physics,41-00110-1,Water,03/01/2023,04/01/2023,"1,800",cf
110 N Professor St - Wright Physics,41-00110-1,Water,04/01/2023,05/01/2023,"3,300",cf
110 N Professor St - Wright Physics,41-00110-1,Water,05/01/2023,06/01/2023,"8,100",cf
110 N Professor St - Wright Physics,41-00110-1,Water,06/01/2023,07/01/2023,900,cf
110 N Professor St - Wright Physics,41-00110-1,Water,07/01/2023,08/01/2023,"3,100",cf
110 N Professor St - Wright Physics,41-00110-1,Water,08/01/2023,09/01/2023,400,cf
110 N Professor St - Wright Physics,41-00110-1,Water,09/01/2023,10/01/2023,400,cf





113 W College St - Harkness House,41-00390-1,Electricity,10/01/2022,11/01/2022,"11,960",kWh
113 W College St - Harkness House,41-00390-1,Electricity,11/01/2022,12/01/2022,"14,440",kWh
113 W College St - Harkness House,41-00390-1,Electricity,12/01/2022,01/01/2023,"16,640",kWh
113 W College St - Harkness House,41-00390-1,Electricity,01/01/2023,02/01/2023,"17,200",kWh
113 W College St - Harkness House,41-00390-1,Electricity,02/01/2023,03/01/2023,"16,160",kWh
113 W College St - Harkness House,41-00390-1,Electricity,03/01/2023,04/01/2023,"17,800",kWh
113 W College St - Harkness House,41-00390-1,Electricity,04/01/2023,05/01/2023,"12,160",kWh
113 W College St - Harkness House,41-00390-1,Electricity,05/01/2023,06/01/2023,"9,680",kWh
113 W College St - Harkness House,41-00390-1,Electricity,06/01/2023,07/01/2023,"4,880",kWh
113 W College St - Harkness House,41-00390-1,Electricity,07/01/2023,08/01/2023,"5,680",kWh
113 W College St - Harkness House,41-00390-1,Electricity,08/01/2023,09/01/2023,"8,120",kWh
113 W College St - Harkness House,41-00390-1,Electricity,09/01/2023,10/01/2023,"10,480",kWh
113 W College St - Harkness House,41-00390-1,Low Flow,10/01/2022,11/01/2022,200,cf
113 W College St - Harkness House,41-00390-1,Low Flow,11/01/2022,12/01/2022,200,cf
113 W College St - Harkness House,41-00390-1,Low Flow,12/01/2022,01/01/2023,200,cf
113 W College St - Harkness House,41-00390-1,Low Flow,01/01/2023,02/01/2023,200,cf
113 W College St - Harkness House,41-00390-1,Low Flow,02/01/2023,03/01/2023,300,cf
113 W College St - Harkness House,41-00390-1,Low Flow,03/01/2023,04/01/2023,200,cf
113 W College St - Harkness House,41-00390-1,Low Flow,04/01/2023,05/01/2023,400,cf
113 W College St - Harkness House,41-00390-1,Low Flow,05/01/2023,06/01/2023,100,cf
113 W College St - Harkness House,41-00390-1,Low Flow,06/01/2023,07/01/2023,100,cf
113 W College St - Harkness House,41-00390-1,Low Flow,07/01/2023,08/01/2023,300,cf
113 W College St - Harkness House,41-00390-1,Low Flow,08/01/2023,09/01/2023,300,cf
113 W College St - Harkness House,41-00390-1,Low Flow,09/01/2023,10/01/2023,400,cf
113 W College St - Harkness House,41-00391-1,Water,10/01/2022,11/01/2022,"8,400",cf
113 W College St - Harkness House,41-00391-1,Water,11/01/2022,12/01/2022,"7,800",cf
113 W College St - Harkness House,41-00391-1,Water,12/01/2022,01/01/2023,"5,500",cf
113 W College St - Harkness House,41-00391-1,Water,01/01/2023,02/01/2023,"5,500",cf
113 W College St - Harkness House,41-00391-1,Water,02/01/2023,03/01/2023,"7,300",cf
113 W College St - Harkness House,41-00391-1,Water,03/01/2023,04/01/2023,"7,500",cf
113 W College St - Harkness House,41-00391-1,Water,04/01/2023,05/01/2023,"8,500",cf
113 W College St - Harkness House,41-00391-1,Water,05/01/2023,06/01/2023,"5,500",cf
113 W College St - Harkness House,41-00391-1,Water,06/01/2023,07/01/2023,700,cf
113 W College St - Harkness House,41-00391-1,Water,07/01/2023,08/01/2023,"1,800",cf
113 W College St - Harkness House,41-00391-1,Water,08/01/2023,09/01/2023,"6,100",cf





120 W Lorain St - Severance Hall,41-00140-1,Water,10/01/2022,11/01/2022,0,cf
120 W Lorain St - Severance Hall,41-00140-1,Water,11/01/2022,12/01/2022,0,cf
120 W Lorain St - Severance Hall,41-00140-1,Water,12/01/2022,01/01/2023,0,cf
120 W Lorain St - Severance Hall,41-00140-1,Water,01/01/2023,02/01/2023,0,cf
120 W Lorain St - Severance Hall,41-00140-1,Water,02/01/2023,03/01/2023,0,cf
120 W Lorain St - Severance Hall,41-00140-1,Water,03/01/2023,04/01/2023,0,cf
120 W Lorain St - Severance Hall,41-00140-1,Water,04/01/2023,05/01/2023,0,cf
120 W Lorain St - Severance Hall,41-00140-1,Water,05/01/2023,06/01/2023,0,cf
120 W Lorain St - Severance Hall,41-00140-1,Water,06/01/2023,07/01/2023,0,cf
120 W Lorain St - Severance Hall,41-00140-1,Water,07/01/2023,08/01/2023,0,cf
120 W Lorain St - Severance Hall,41-00140-1,Water,08/01/2023,09/01/2023,0,cf
120 W Lorain St - Severance Hall,41-00140-1,Water,09/01/2023,10/01/2023,0,cf
120 W Lorain St - Severance Hall,41-00142-1,Water,10/01/2022,11/01/2022,0,cf
120 W Lorain St - Severance Hall,41-00142-1,Water,11/01/2022,12/01/2022,0,cf
120 W Lorain St - Severance Hall,41-00142-1,Water,12/01/2022,01/01/2023,0,cf
120 W Lorain St - Severance Hall,41-00142-1,Water,01/01/2023,02/01/2023,0,cf
120 W Lorain St - Severance Hall,41-00142-1,Water,02/01/2023,03/01/2023,0,cf
120 W Lorain St - Severance Hall,41-00142-1,Water,03/01/2023,04/01/2023,0,cf
120 W Lorain St - Severance Hall,41-00142-1,Water,04/01/2023,05/01/2023,0,cf
120 W Lorain St - Severance Hall,41-00142-1,Water,05/01/2023,06/01/2023,0,cf
120 W Lorain St - Severance Hall,41-00142-1,Water,06/01/2023,07/01/2023,0,cf
120 W Lorain St - Severance Hall,41-00142-1,Water,07/01/2023,08/01/2023,0,cf
120 W Lorain St - Severance Hall,41-00142-1,Water,08/01/2023,09/01/2023,0,cf
120 W Lorain St - Severance Hall,41-00142-1,Water,09/01/2023,10/01/2023,0,cf
120 W Lorain St - Severance Hall,41-00143-1,Water,10/01/2022,11/01/2022,500,cf
120 W Lorain St - Severance Hall,41-00143-1,Water,11/01/2022,12/01/2022,400,cf
120 W Lorain St - Severance Hall,41-00143-1,Water,12/01/2022,01/01/2023,200,cf
120 W Lorain St - Severance Hall,41-00143-1,Water,01/01/2023,02/01/2023,100,cf
120 W Lorain St - Severance Hall,41-00143-1,Water,02/01/2023,03/01/2023,"5,200",cf
120 W Lorain St - Severance Hall,41-00143-1,Water,03/01/2023,04/01/2023,900,cf
120 W Lorain St - Severance Hall,41-00143-1,Water,04/01/2023,05/01/2023,300,cf
120 W Lorain St - Severance Hall,41-00143-1,Water,05/01/2023,06/01/2023,600,cf
120 W Lorain St - Severance Hall,41-00143-1,Water,06/01/2023,07/01/2023,0,cf
120 W Lorain St - Severance Hall,41-00143-1,Water,07/01/2023,08/01/2023,500,cf
120 W Lorain St - Severance Hall,41-00143-1,Water,08/01/2023,09/01/2023,400,cf
120 W Lorain St - Severance Hall,41-00143-1,Water,09/01/2023,10/01/2023,500,cf





121 Elm St - South Hall,41-00440-1,Electricity,10/01/2022,11/01/2022,"40,720",kWh
121 Elm St - South Hall,41-00440-1,Electricity,11/01/2022,12/01/2022,"43,040",kWh
121 Elm St - South Hall,41-00440-1,Electricity,12/01/2022,01/01/2023,"44,800",kWh
121 Elm St - South Hall,41-00440-1,Electricity,01/01/2023,02/01/2023,"41,440",kWh
121 Elm St - South Hall,41-00440-1,Electricity,02/01/2023,03/01/2023,"45,440",kWh
121 Elm St - South Hall,41-00440-1,Electricity,03/01/2023,04/01/2023,"44,160",kWh
121 Elm St - South Hall,41-00440-1,Electricity,04/01/2023,05/01/2023,"44,000",kWh
121 Elm St - South Hall,41-00440-1,Electricity,05/01/2023,06/01/2023,"35,200",kWh
121 Elm St - South Hall,41-00440-1,Electricity,06/01/2023,07/01/2023,"27,440",kWh
121 Elm St - South Hall,41-00440-1,Electricity,07/01/2023,08/01/2023,"25,040",kWh
121 Elm St - South Hall,41-00440-1,Electricity,08/01/2023,09/01/2023,"30,000",kWh
121 Elm St - South Hall,41-00440-1,Electricity,09/01/2023,10/01/2023,"46,960",kWh
121 Elm St - South Hall,41-00440-1,Low Flow,10/01/2022,11/01/2022,"16,700",cf
121 Elm St - South Hall,41-00440-1,Low Flow,11/01/2022,12/01/2022,"17,400",cf
121 Elm St - South Hall,41-00440-1,Low Flow,12/01/2022,01/01/2023,"19,000",cf
121 Elm St - South Hall,41-00440-1,Low Flow,01/01/2023,02/01/2023,"13,800",cf
121 Elm St - South Hall,41-00440-1,Low Flow,02/01/2023,03/01/2023,"19,200",cf
121 Elm St - South Hall,41-00440-1,Low Flow,03/01/2023,04/01/2023,"14,900",cf
121 Elm St - South Hall,41-00440-1,Low Flow,04/01/2023,05/01/2023,"18,100",cf
121 Elm St - South Hall,41-00440-1,Low Flow,05/01/2023,06/01/2023,"11,100",cf
121 Elm St - South Hall,41-00440-1,Low Flow,06/01/2023,07/01/2023,"5,100",cf
121 Elm St - South Hall,41-00440-1,Low Flow,07/01/2023,08/01/2023,"2,900",cf
121 Elm St - South Hall,41-00440-1,Low Flow,08/01/2023,09/01/2023,"6,600",cf
121 Elm St - South Hall,41-00440-1,Low Flow,09/01/2023,10/01/2023,"22,600",cf
121 Elm St - South Hall,41-00441-1,Water,10/01/2022,11/01/2022,0,cf
121 Elm St - South Hall,41-00441-1,Water,11/01/2022,12/01/2022,0,cf
121 Elm St - South Hall,41-00441-1,Water,12/01/2022,01/01/2023,0,cf
121 Elm St - South Hall,41-00441-1,Water,01/01/2023,02/01/2023,0,cf
121 Elm St - South Hall,41-00441-1,Water,02/01/2023,03/01/2023,0,cf
121 Elm St - South Hall,41-00441-1,Water,03/01/2023,04/01/2023,0,cf
121 Elm St - South Hall,41-00441-1,Water,04/01/2023,05/01/2023,0,cf
121 Elm St - South Hall,41-00441-1,Water,05/01/2023,06/01/2023,0,cf
121 Elm St - South Hall,41-00441-1,Water,06/01/2023,07/01/2023,0,cf
121 Elm St - South Hall,41-00441-1,Water,07/01/2023,08/01/2023,0,cf
121 Elm St - South Hall,41-00441-1,Water,08/01/2023,09/01/2023,0,cf
121 Elm St - South Hall,41-00441-1,Water,09/01/2023,10/01/2023,0,cf





126 Forest St - Lord Saunders Dorm,41-00480-1,Electricity,10/01/2022,11/01/2022,"25,360",kWh
126 Forest St - Lord Saunders Dorm,41-00480-1,Electricity,11/01/2022,12/01/2022,"26,320",kWh
126 Forest St - Lord Saunders Dorm,41-00480-1,Electricity,12/01/2022,01/01/2023,"22,480",kWh
126 Forest St - Lord Saunders Dorm,41-00480-1,Electricity,01/01/2023,02/01/2023,"18,480",kWh
126 Forest St - Lord Saunders Dorm,41-00480-1,Electricity,02/01/2023,03/01/2023,"23,600",kWh
126 Forest St - Lord Saunders Dorm,41-00480-1,Electricity,03/01/2023,04/01/2023,"22,800",kWh
126 Forest St - Lord Saunders Dorm,41-00480-1,Electricity,04/01/2023,05/01/2023,"24,000",kWh
126 Forest St - Lord Saunders Dorm,41-00480-1,Electricity,05/01/2023,06/01/2023,"19,280",kWh
126 Forest St - Lord Saunders Dorm,41-00480-1,Electricity,06/01/2023,07/01/2023,"20,000",kWh
126 Forest St - Lord Saunders Dorm,41-00480-1,Electricity,07/01/2023,08/01/2023,"23,120",kWh
126 Forest St - Lord Saunders Dorm,41-00480-1,Electricity,08/01/2023,09/01/2023,"18,560",kWh
126 Forest St - Lord Saunders Dorm,41-00480-1,Electricity,09/01/2023,10/01/2023,"19,600",kWh
126 Forest St - Lord Saunders Dorm,41-00480-1,High Flow,10/01/2022,11/01/2022,"1,200",cf
126 Forest St - Lord Saunders Dorm,41-00480-1,High Flow,11/01/2022,12/01/2022,"1,400",cf
126 Forest St - Lord Saunders Dorm,41-00480-1,High Flow,12/01/2022,01/01/2023,"1,000",cf
126 Forest St - Lord Saunders Dorm,41-00480-1,High Flow,01/01/2023,02/01/2023,"1,100",cf
126 Forest St - Lord Saunders Dorm,41-00480-1,High Flow,02/01/2023,03/01/2023,"1,300",cf
126 Forest St - Lord Saunders Dorm,41-00480-1,High Flow,03/01/2023,04/01/2023,"1,100",cf
126 Forest St - Lord Saunders Dorm,41-00480-1,High Flow,04/01/2023,05/01/2023,"1,300",cf
126 Forest St - Lord Saunders Dorm,41-00480-1,High Flow,05/01/2023,06/01/2023,700,cf
126 Forest St - Lord Saunders Dorm,41-00480-1,High Flow,06/01/2023,07/01/2023,600,cf
